x,y,z
1.5692,2.5606,0.15
1.3497,2.649,0.15
1.1513,2.7795,0.15
0.9272,2.8535,0.15
0.6945,2.8927,0.15
0.4658,2.9411,0.15
0.2358,2.9958,0.15
0.0,2.9647,0.15
-0.2343,2.977,0.15
-0.4721,2.9806,0.15
-0.6946,2.8931,0.15
-0.924,2.8438,0.15
-1.1536,2.7849,0.15
-1.3676,2.6841,0.15
-1.5713,2.5641,0.15
-1.7586,2.4205,0.15
-1.9586,2.2932,0.15
-2.1039,2.1039,0.15
-2.291,1.9567,0.15
-2.4145,1.7542,0.15
-2.5574,1.5672,0.15
-2.67,1.3604,0.15
-2.7503,-2.9593,0.15
-2.8496,-2.9408,0.15
-2.9171,-2.9736,0.15
-2.946,-2.9468,0.15
-2.9715,-2.96,0.15
-3.0016,-2.9421,0.15
-2.9624,-2.9601,0.15
-2.9337,-2.9616,0.15
-2.9165,-2.9554,0.15
-2.8645,-2.9861,0.15
-2.7823,-2.9793,0.15
-2.6587,-1.3547,0.15
-2.5295,-1.5501,0.15
-2.4205,-1.7586,0.15
-2.2508,-1.9224,0.15
-2.1062,-2.1062,0.15
-1.9485,-2.2814,0.15
-1.7662,-2.4309,0.15
-1.5518,-2.5323,0.15
-1.3652,-2.6793,0.15
-1.1429,-2.7592,0.15
-0.9185,-2.8268,0.15
-0.7015,-2.9218,0.15
-0.47,-2.9673,0.15
-0.2344,-2.9788,0.15
-0.0,-2.9918,0.15
0.2352,-2.9879,0.15
0.469,-2.9609,0.15
0.7017,-2.9228,0.15
0.9289,-2.8589,0.15
1.1373,-2.7457,0.15
1.3443,-2.6384,0.15
1.5499,-2.5291,0.15
1.7507,-2.4096,0.15
1.9449,-2.2772,0.15
2.1338,-2.1338,0.15
2.2698,-1.9386,0.15
2.4126,-1.7528,0.15
2.5523,-1.564,0.15
2.688,-1.3696,0.15
2.7672,-1.1462,0.15
2.8319,-0.9201,0.15
2.9223,-0.7016,0.15
2.9823,-0.4723,0.15
2.9983,-0.236,0.15
2.9702,0.0,0.3
2.9783,0.2344,0.3
2.931,0.4642,0.3
2.8857,0.6928,0.3
2.8405,0.9229,0.3
2.7817,1.1522,0.3
2.6748,1.3629,0.3
2.5451,1.5596,0.3
2.4409,1.7734,0.3
2.2588,1.9292,0.3
2.1035,2.1035,0.3
1.9329,2.2632,0.3
1.7599,2.4224,0.3
1.5744,2.5692,0.3
1.3542,2.6577,0.3
1.1517,2.7804,0.3
0.932,2.8684,0.3
0.6977,2.906,0.3
0.4714,2.9763,0.3
0.2364,3.0039,0.3
0.0,2.9884,0.3
-0.233,2.9609,0.3
-0.4637,2.9278,0.3
-0.6943,2.892,0.3
-0.9232,2.8412,0.3
-1.133,2.7354,0.3
-1.3527,2.6549,0.3
-1.562,2.549,0.3
-1.7516,2.4109,0.3
-1.9509,2.2842,0.3
-2.1171,2.1171,0.3
-2.275,1.943,0.3
-2.4253,1.7621,0.3
-2.5535,1.5648,0.3
-2.6594,1.355,0.3
-2.7437,-2.9647,0.3
-2.8177,-2.9978,0.3
-2.898,-2.9862,0.3
-2.9682,-2.9905,0.3
-2.977,-2.9583,0.3
-2.9849,-2.9517,0.3
-2.9577,-2.9897,0.3
-2.9397,-2.9781,0.3
-2.9107,-2.9881,0.3
-2.8469,-2.9579,0.3
-2.7707,-2.9511,0.3
-2.6416,-1.346,0.3
-2.5584,-1.5678,0.3
-2.4297,-1.7653,0.3
-2.2883,-1.9544,0.3
-2.0993,-2.0993,0.3
-1.9256,-2.2546,0.3
-1.7665,-2.4314,0.3
-1.5668,-2.5568,0.3
-1.3483,-2.6461,0.3
-1.1527,-2.7828,0.3
-0.9279,-2.8559,0.3
-0.6996,-2.9139,0.3
-0.4702,-2.9685,0.3
-0.2351,-2.9873,0.3
-0.0,-2.9803,0.3
0.2325,-2.9539,0.3
0.4662,-2.9437,0.3
0.6997,-2.9145,0.3
0.9181,-2.8257,0.3
1.1368,-2.7445,0.3
1.3468,-2.6432,0.3
1.5621,-2.5491,0.3
1.7738,-2.4415,0.3
1.9507,-2.284,0.3
2.0935,-2.0935,0.3
2.2679,-1.9369,0.3
2.4277,-1.7638,0.3
2.5286,-1.5496,0.3
2.6797,-1.3654,0.3
2.7476,-1.1381,0.3
2.8403,-0.9229,0.3
2.9243,-0.7021,0.3
2.9752,-0.4712,0.3
2.9555,-0.2326,0.3
3.0543,0.0,0.45
3.0426,0.2395,0.45
3.0106,0.4768,0.45
2.9406,0.706,0.45
2.8727,0.9334,0.45
2.7758,1.1498,0.45
2.6958,1.3736,0.45
2.5748,1.5778,0.45
2.4362,1.77,0.45
2.3256,1.9862,0.45
2.1599,2.1599,0.45
1.981,2.3195,0.45
1.7748,2.4428,0.45
1.5723,2.5657,0.45
1.3744,2.6974,0.45
1.1504,2.7772,0.45
0.9341,2.875,0.45
0.7092,2.9542,0.45
0.4726,2.9836,0.45
0.2371,3.0125,0.45
0.0,3.0213,0.45
-0.2394,3.0421,0.45
-0.4699,2.9668,0.45
-0.7121,2.9663,0.45
-0.9389,2.8896,0.45
-1.1613,2.8036,0.45
-1.3816,2.7116,0.45
-1.569,2.5603,0.45
-1.7948,2.4703,0.45
-1.9607,2.2957,0.45
-2.1395,2.1395,0.45
-2.3059,1.9694,0.45
-2.4722,1.7962,0.45
-2.571,1.5755,0.45
-2.7026,1.377,0.45
-2.8282,-2.9873,0.45
-2.8918,-2.9902,0.45
-2.9519,-2.9739,0.45
-2.9983,-2.9983,0.45
-3.0046,-2.946,0.45
-3.0125,-2.982,0.45
-3.0516,-2.9847,0.45
-2.9991,-2.9742,0.45
-2.919,-2.9614,0.45
-2.8835,-2.9438,0.45
-2.8274,-2.9956,0.45
-2.706,-1.3788,0.45
-2.5769,-1.5791,0.45
-2.4349,-1.769,0.45
-2.3244,-1.9852,0.45
-2.1264,-2.1264,0.45
-1.969,-2.3054,0.45
-1.7726,-2.4397,0.45
-1.5864,-2.5887,0.45
-1.3684,-2.6857,0.45
-1.1683,-2.8206,0.45
-0.9357,-2.8797,0.45
-0.7036,-2.9306,0.45
-0.4771,-3.0122,0.45
-0.2361,-3.0005,0.45
-0.0,-3.046,0.45
0.2367,-3.0073,0.45
0.4775,-3.0146,0.45
0.7043,-2.9338,0.45
0.9397,-2.892,0.45
1.1641,-2.8105,0.45
1.3765,-2.7015,0.45
1.5957,-2.6039,0.45
1.7835,-2.4548,0.45
1.9586,-2.2932,0.45
2.1448,-2.1448,0.45
2.3139,-1.9762,0.45
2.4489,-1.7792,0.45
2.5862,-1.5848,0.45
2.6784,-1.3647,0.45
2.7871,-1.1545,0.45
2.8986,-0.9418,0.45
2.9383,-0.7054,0.45
2.976,-0.4713,0.45
3.0399,-0.2392,0.45
2.9253,0.0,0.6
2.9177,0.2296,0.6
2.8982,0.459,0.6
2.8451,0.6831,0.6
2.7966,0.9087,0.6
2.7153,1.1247,0.6
2.6537,1.3521,0.6
2.5053,1.5352,0.6
2.3927,1.7384,0.6
2.2361,1.9098,0.6
2.0976,2.0976,0.6
1.9028,2.2278,0.6
1.7302,2.3815,0.6
1.5317,2.4995,0.6
1.3353,2.6207,0.6
1.1245,2.7149,0.6
0.9116,2.8057,0.6
0.6956,2.8972,0.6
0.4575,2.8886,0.6
0.2304,2.9278,0.6
0.0,2.9595,0.6
-0.2333,2.9639,0.6
-0.4608,2.9095,0.6
-0.6874,2.8631,0.6
-0.9091,2.798,0.6
-1.1272,2.7213,0.6
-1.3417,2.6332,0.6
-1.5517,2.5321,0.6
-1.7188,2.3658,0.6
-1.9052,2.2307,0.6
-2.0763,2.0763,0.6
-2.251,1.9225,0.6
-2.4016,1.7449,0.6
-2.4958,1.5295,0.6
-2.6044,1.327,0.6
-2.7068,-2.9738,0.6
-2.8194,-2.9416,0.6
-2.8638,-2.9746,0.6
-2.9389,-2.9539,0.6
-2.968,-2.9842,0.6
-2.9657,-2.9515,0.6
-2.9303,-2.9854,0.6
-2.9421,-2.9868,0.6
-2.8612,-2.9939,0.6
-2.8299,-2.9627,0.6
-2.7139,-2.9735,0.6
-2.6282,-1.3391,0.6
-2.4931,-1.5278,0.6
-2.4008,-1.7443,0.6
-2.2262,-1.9013,0.6
-2.0831,-2.0831,0.6
-1.9271,-2.2563,0.6
-1.728,-2.3784,0.6
-1.5512,-2.5313,0.6
-1.3516,-2.6526,0.6
-1.1347,-2.7395,0.6
-0.9111,-2.8042,0.6
-0.6954,-2.8964,0.6
-0.4603,-2.906,0.6
-0.234,-2.9735,0.6
-0.0,-2.9593,0.6
0.2318,-2.9459,0.6
0.4654,-2.9386,0.6
0.6838,-2.8484,0.6
0.9086,-2.7963,0.6
1.1364,-2.7434,0.6
1.3289,-2.608,0.6
1.5562,-2.5396,0.6
1.7341,-2.3868,0.6
1.9174,-2.245,0.6
2.1091,-2.1091,0.6
2.2265,-1.9016,0.6
2.3657,-1.7188,0.6
2.521,-1.5449,0.6
2.6383,-1.3443,0.6
2.7483,-1.1384,0.6
2.7909,-0.9068,0.6
2.8937,-0.6947,0.6
2.9259,-0.4634,0.6
2.9486,-0.2321,0.6
2.9699,0.0,0.75
2.926,0.2303,0.75
2.9256,0.4634,0.75
2.8992,0.696,0.75
2.7797,0.9032,0.75
2.7234,1.1281,0.75
2.6537,1.3521,0.75
2.5061,1.5357,0.75
2.4046,1.747,0.75
2.2592,1.9296,0.75
2.0954,2.0954,0.75
1.9366,2.2674,0.75
1.7424,2.3982,0.75
1.53,2.4967,0.75
1.3495,2.6485,0.75
1.1354,2.7412,0.75
0.9101,2.801,0.75
0.6835,2.8468,0.75
0.4596,2.9019,0.75
0.2317,2.9444,0.75
0.0,2.937,0.75
-0.2339,2.972,0.75
-0.4586,2.8954,0.75
-0.686,2.8572,0.75
-0.9052,2.786,0.75
-1.1354,2.741,0.75
-1.3491,2.6478,0.75
-1.5346,2.5042,0.75
-1.7313,2.3829,0.75
-1.9323,2.2624,0.75
-2.0915,2.0915,0.75
-2.2318,1.9061,0.75
-2.4123,1.7526,0.75
-2.5308,1.5508,0.75
-2.6199,1.3349,0.75
-2.7244,-2.97,0.75
-2.8152,-2.9724,0.75
-2.8499,-2.9803,0.75
-2.8936,-2.9699,0.75
-2.9497,-2.9639,0.75
-2.9262,-2.9667,0.75
-2.9597,-2.9656,0.75
-2.906,-2.9529,0.75
-2.8645,-2.9524,0.75
-2.7795,-2.9947,0.75
-2.7249,-2.995,0.75
-2.6139,-1.3319,0.75
-2.5391,-1.556,0.75
-2.4016,-1.7449,0.75
-2.2355,-1.9093,0.75
-2.071,-2.071,0.75
-1.9262,-2.2552,0.75
-1.7425,-2.3983,0.75
-1.5322,-2.5002,0.75
-1.3417,-2.6332,0.75
-1.1329,-2.7351,0.75
-0.9046,-2.784,0.75
-0.6837,-2.8477,0.75
-0.4573,-2.8875,0.75
-0.2332,-2.963,0.75
-0.0,-2.9398,0.75
0.2308,-2.933,0.75
0.4575,-2.8885,0.75
0.6912,-2.8791,0.75
0.9076,-2.7932,0.75
1.1306,-2.7296,0.75
1.3361,-2.6222,0.75
1.5376,-2.5092,0.75
1.719,-2.366,0.75
1.9103,-2.2367,0.75
2.1049,-2.1049,0.75
2.2649,-1.9344,0.75
2.4083,-1.7497,0.75
2.5349,-1.5534,0.75
2.6468,-1.3486,0.75
2.7344,-1.1326,0.75
2.8135,-0.9141,0.75
2.8831,-0.6922,0.75
2.9429,-0.4661,0.75
2.9491,-0.2321,0.75
3.0194,0.0,0.9
3.0171,0.2375,0.9
2.9707,0.4705,0.9
2.8947,0.695,0.9
2.8647,0.9308,0.9
2.7683,1.1467,0.9
2.6583,1.3545,0.9
2.5396,1.5563,0.9
2.4333,1.7679,0.9
2.3063,1.9698,0.9
2.1278,2.1278,0.9
1.9651,2.3008,0.9
1.7552,2.4158,0.9
1.5651,2.5541,0.9
1.377,2.7025,0.9
1.1546,2.7874,0.9
0.933,2.8716,0.9
0.6988,2.9108,0.9
0.4718,2.9787,0.9
0.2351,2.9871,0.9
0.0,2.9877,0.9
-0.2342,2.976,0.9
-0.4672,2.9495,0.9
-0.696,2.8989,0.9
-0.9268,2.8524,0.9
-1.1587,2.7973,0.9
-1.3658,2.6805,0.9
-1.5665,2.5563,0.9
-1.7717,2.4386,0.9
-1.9685,2.3048,0.9
-2.1152,2.1152,0.9
-2.3047,1.9684,0.9
-2.4551,1.7837,0.9
-2.5552,1.5658,0.9
-2.6548,1.3527,0.9
-2.787,-2.9449,0.9
-2.8511,-2.9812,0.9
-2.9073,-2.9925,0.9
-2.9785,-2.9826,0.9
-3.0224,-2.9755,0.9
-2.9835,-2.96,0.9
-3.0253,-2.9922,0.9
-2.9966,-2.9603,0.9
-2.9383,-2.9433,0.9
-2.8614,-2.9679,0.9
-2.7571,-2.9753,0.9
-2.6809,-1.366,0.9
-2.5508,-1.5631,0.9
-2.4285,-1.7644,0.9
-2.2803,-1.9475,0.9
-2.1397,-2.1397,0.9
-1.9461,-2.2785,0.9
-1.7807,-2.4509,0.9
-1.562,-2.5489,0.9
-1.3687,-2.6862,0.9
-1.1502,-2.7769,0.9
-0.9251,-2.8473,0.9
-0.7056,-2.939,0.9
-0.4748,-2.9977,0.9
-0.2341,-2.9742,0.9
-0.0,-3.0244,0.9
0.2338,-2.9707,0.9
0.4688,-2.9601,0.9
0.7081,-2.9493,0.9
0.9374,-2.8852,0.9
1.1601,-2.8006,0.9
1.3606,-2.6704,0.9
1.578,-2.5751,0.9
1.7836,-2.4549,0.9
1.9351,-2.2657,0.9
2.1393,-2.1393,0.9
2.2958,-1.9608,0.9
2.4527,-1.782,0.9
2.5603,-1.569,0.9
2.6858,-1.3685,0.9
2.7915,-1.1563,0.9
2.8584,-0.9288,0.9
2.9354,-0.7047,0.9
2.9519,-0.4675,0.9
2.9692,-0.2337,0.9
3.0011,0.0,1.05
2.9588,0.2329,1.05
2.9584,0.4686,1.05
2.9173,0.7004,1.05
2.8503,0.9261,1.05
2.7485,1.1385,1.05
2.6368,1.3435,1.05
2.5396,1.5563,1.05
2.4175,1.7564,1.05
2.2701,1.9388,1.05
2.0817,2.0817,1.05
1.9129,2.2397,1.05
1.7304,2.3817,1.05
1.545,2.5212,1.05
1.3464,2.6424,1.05
1.1344,2.7387,1.05
0.9232,2.8414,1.05
0.6975,2.9053,1.05
0.4629,2.9226,1.05
0.2325,2.9538,1.05
0.0,2.9955,1.05
-0.2341,2.9743,1.05
-0.4605,2.9077,1.05
-0.6914,2.88,1.05
-0.9244,2.845,1.05
-1.1382,2.7478,1.05
-1.3411,2.6321,1.05
-1.5502,2.5297,1.05
-1.7531,2.413,1.05
-1.9176,2.2452,1.05
-2.0911,2.0911,1.05
-2.2755,1.9435,1.05
-2.399,1.743,1.05
-2.5296,1.5501,1.05
-2.6743,1.3626,1.05
-2.7712,-2.9818,1.05
-2.798,-2.9897,1.05
-2.9176,-2.9579,1.05
-2.9195,-2.9457,1.05
-2.9854,-2.9573,1.05
-2.9431,-2.9683,1.05
-2.9462,-2.9847,1.05
-2.9291,-2.9759,1.05
-2.9123,-2.9775,1.05
-2.8075,-2.9907,1.05
-2.7438,-2.9833,1.05
-2.6662,-1.3585,1.05
-2.5407,-1.5569,1.05
-2.4157,-1.7551,1.05
-2.2452,-1.9176,1.05
-2.1044,-2.1044,1.05
-1.9376,-2.2686,1.05
-1.731,-2.3825,1.05
-1.5497,-2.5289,1.05
-1.3538,-2.6571,1.05
-1.1294,-2.7266,1.05
-0.9269,-2.8526,1.05
-0.6898,-2.8731,1.05
-0.4613,-2.9128,1.05
-0.2341,-2.9741,1.05
-0.0,-3.0011,1.05
0.2345,-2.9792,1.05
0.4652,-2.9373,1.05
0.6914,-2.8799,1.05
0.9131,-2.8103,1.05
1.1273,-2.7216,1.05
1.3417,-2.6333,1.05
1.5569,-2.5406,1.05
1.738,-2.3921,1.05
1.9492,-2.2822,1.05
2.087,-2.087,1.05
2.2483,-1.9202,1.05
2.3999,-1.7436,1.05
2.5573,-1.5671,1.05
2.6396,-1.3449,1.05
2.7283,-1.1301,1.05
2.8394,-0.9226,1.05
2.8658,-0.688,1.05
2.9337,-0.4647,1.05
2.9458,-0.2318,1.05
3.0439,0.0,1.2
3.0385,0.2391,1.2
3.0371,0.481,1.2
2.9723,0.7136,1.2
2.9265,0.9509,1.2
2.8117,1.1646,1.2
2.7353,1.3937,1.2
2.5952,1.5903,1.2
2.4547,1.7835,1.2
2.3384,1.9972,1.2
2.1602,2.1602,1.2
1.9654,2.3011,1.2
1.7938,2.4689,1.2
1.5984,2.6083,1.2
1.3737,2.696,1.2
1.1659,2.8147,1.2
0.9407,2.8952,1.2
0.707,2.9449,1.2
0.4785,3.0211,1.2
0.2391,3.0374,1.2
0.0,3.0533,1.2
-0.2393,3.0403,1.2
-0.4778,3.0169,1.2
-0.7154,2.9797,1.2
-0.9415,2.8975,1.2
-1.1769,2.8414,1.2
-1.3945,2.7369,1.2
-1.5909,2.5962,1.2
-1.778,2.4472,1.2
-1.9789,2.3169,1.2
-2.1499,2.1499,1.2
-2.3351,1.9944,1.2
-2.4565,1.7848,1.2
-2.576,1.5786,1.2
-2.6991,1.3753,1.2
-2.8366,-2.9927,1.2
-2.9218,-2.9742,1.2
-2.9658,-2.9547,1.2
-3.0318,-2.9932,1.2
-3.0435,-2.9887,1.2
-3.0749,-2.9537,1.2
-3.0235,-2.9792,1.2
-3.0383,-2.9425,1.2
-2.979,-2.9977,1.2
-2.8824,-2.9638,1.2
-2.7993,-2.969,1.2
-2.689,-1.3701,1.2
-2.5965,-1.5911,1.2
-2.4644,-1.7905,1.2
-2.3324,-1.9921,1.2
-2.1485,-2.1485,1.2
-1.9948,-2.3357,1.2
-1.7823,-2.4531,1.2
-1.5772,-2.5738,1.2
-1.3823,-2.7129,1.2
-1.1586,-2.7972,1.2
-0.9502,-2.9244,1.2
-0.716,-2.9822,1.2
-0.4808,-3.0359,1.2
-0.2378,-3.0211,1.2
-0.0,-3.0701,1.2
0.2411,-3.063,1.2
0.4747,-2.9972,1.2
0.7159,-2.9818,1.2
0.9393,-2.8909,1.2
1.1591,-2.7982,1.2
1.3884,-2.7249,1.2
1.5872,-2.59,1.2
1.7843,-2.4559,1.2
1.9849,-2.324,1.2
2.1613,-2.1613,1.2
2.2953,-1.9603,1.2
2.4427,-1.7747,1.2
2.6003,-1.5935,1.2
2.6935,-1.3724,1.2
2.7939,-1.1573,1.2
2.9232,-0.9498,1.2
2.9898,-0.7178,1.2
3.0226,-0.4787,1.2
3.0635,-0.2411,1.2
3.0446,0.0,1.35
2.98,0.2345,1.35
2.9743,0.4711,1.35
2.9277,0.7029,1.35
2.8621,0.9299,1.35
2.7764,1.15,1.35
2.6803,1.3657,1.35
2.5866,1.5851,1.35
2.4642,1.7904,1.35
2.3149,1.9771,1.35
2.1301,2.1301,1.35
1.9647,2.3004,1.35
1.765,2.4294,1.35
1.5714,2.5643,1.35
1.3818,2.7119,1.35
1.1562,2.7913,1.35
0.9253,2.8477,1.35
0.7045,2.9345,1.35
0.475,2.999,1.35
0.2377,3.0205,1.35
0.0,2.9957,1.35
-0.2363,3.003,1.35
-0.4706,2.9712,1.35
-0.7009,2.9193,1.35
-0.9282,2.8567,1.35
-1.1631,2.8079,1.35
-1.372,2.6928,1.35
-1.5869,2.5896,1.35
-1.7709,2.4374,1.35
-1.974,2.3113,1.35
-2.1138,2.1138,1.35
-2.2884,1.9545,1.35
-2.4274,1.7636,1.35
-2.5623,1.5702,1.35
-2.7025,1.377,1.35
-2.7714,-2.9473,1.35
-2.8758,-2.9475,1.35
-2.9077,-2.9963,1.35
-2.9542,-2.9408,1.35
-3.0079,-2.9964,1.35
-3.0063,-2.9788,1.35
-2.9953,-2.9811,1.35
-2.9664,-2.9851,1.35
-2.9316,-2.9932,1.35
-2.8768,-2.9516,1.35
-2.7712,-2.9618,1.35
-2.6999,-1.3757,1.35
-2.5647,-1.5717,1.35
-2.4368,-1.7704,1.35
-2.2792,-1.9466,1.35
-2.1397,-2.1397,1.35
-1.9793,-2.3175,1.35
-1.7843,-2.4559,1.35
-1.5685,-2.5595,1.35
-1.3686,-2.6861,1.35
-1.1555,-2.7897,1.35
-0.9289,-2.8587,1.35
-0.7113,-2.9626,1.35
-0.4758,-3.0042,1.35
-0.2366,-3.0065,1.35
-0.0,-3.0026,1.35
0.2381,-3.0248,1.35
0.4725,-2.9829,1.35
0.7078,-2.9481,1.35
0.9399,-2.8926,1.35
1.1661,-2.8153,1.35
1.3784,-2.7052,1.35
1.5682,-2.559,1.35
1.7764,-2.445,1.35
1.9692,-2.3056,1.35
2.121,-2.121,1.35
2.318,-1.9797,1.35
2.4314,-1.7665,1.35
2.5919,-1.5883,1.35
2.664,-1.3574,1.35
2.7663,-1.1458,1.35
2.8436,-0.9239,1.35
2.9115,-0.699,1.35
2.9566,-0.4683,1.35
2.9845,-0.2349,1.35
3.0476,0.0,1.5
3.0308,0.2385,1.5
3.004,0.4758,1.5
2.9551,0.7095,1.5
2.8558,0.9279,1.5
2.7859,1.154,1.5
2.6687,1.3598,1.5
2.5606,1.5691,1.5
2.4304,1.7658,1.5
2.2965,1.9614,1.5
2.1551,2.1551,1.5
1.9572,2.2916,1.5
1.7831,2.4543,1.5
1.5842,2.5851,1.5
1.3669,2.6826,1.5
1.1461,2.7669,1.5
0.9287,2.8582,1.5
0.7014,2.9213,1.5
0.4729,2.986,1.5
0.2363,3.002,1.5
0.0,3.0314,1.5
-0.2377,3.0197,1.5
-0.4691,2.962,1.5
-0.7106,2.9598,1.5
-0.9324,2.8696,1.5
-1.15,2.7763,1.5
-1.3594,2.668,1.5
-1.5785,2.576,1.5
-1.763,2.4266,1.5
-1.9727,2.3097,1.5
-2.1245,2.1245,1.5
-2.2832,1.95,1.5
-2.4415,1.7739,1.5
-2.5553,1.5659,1.5
-2.7148,1.3833,1.5
-2.812,-2.9952,1.5
-2.8597,-2.95,1.5
-2.9544,-2.9679,1.5
-2.9956,-2.9736,1.5
-3.0195,-2.9628,1.5
-3.037,-2.9417,1.5
-3.0141,-2.9922,1.5
-3.0011,-2.9416,1.5
-2.941,-2.944,1.5
-2.8888,-2.955,1.5
-2.8085,-2.9635,1.5
-2.672,-1.3614,1.5
-2.5583,-1.5677,1.5
-2.463,-1.7895,1.5
-2.3047,-1.9684,1.5
-2.1232,-2.1232,1.5
-1.9525,-2.2861,1.5
-1.7897,-2.4633,1.5
-1.5674,-2.5578,1.5
-1.3744,-2.6975,1.5
-1.1626,-2.8067,1.5
-0.9301,-2.8625,1.5
-0.6988,-2.9106,1.5
-0.4717,-2.9783,1.5
-0.2379,-3.0232,1.5
-0.0,-3.045,1.5
0.2376,-3.0189,1.5
0.4688,-2.9598,1.5
0.7013,-2.9212,1.5
0.9341,-2.8749,1.5
1.1509,-2.7785,1.5
1.3621,-2.6733,1.5
1.5683,-2.5593,1.5
1.7864,-2.4587,1.5
1.957,-2.2913,1.5
2.152,-2.152,1.5
2.319,-1.9806,1.5
2.4375,-1.771,1.5
2.5858,-1.5846,1.5
2.6774,-1.3642,1.5
2.78,-1.1515,1.5
2.8585,-0.9288,1.5
2.9392,-0.7056,1.5
2.9615,-0.4691,1.5
3.0313,-0.2386,1.5
2.9973,0.0,1.65
2.9972,0.2359,1.65
2.9683,0.4701,1.65
2.9623,0.7112,1.65
2.8948,0.9406,1.65
2.7742,1.1491,1.65
2.6972,1.3743,1.65
2.5877,1.5857,1.65
2.4441,1.7758,1.65
2.2863,1.9527,1.65
2.1502,2.1502,1.65
1.9423,2.2741,1.65
1.7904,2.4643,1.65
1.5858,2.5878,1.65
1.3743,2.6972,1.65
1.1504,2.7773,1.65
0.9256,2.8486,1.65
0.7034,2.9299,1.65
0.4725,2.9834,1.65
0.2373,3.0149,1.65
0.0,3.0007,1.65
-0.2363,3.0029,1.65
-0.4692,2.9623,1.65
-0.6983,2.9086,1.65
-0.9334,2.8727,1.65
-1.1552,2.7889,1.65
-1.3739,2.6964,1.65
-1.5758,2.5714,1.65
-1.7808,2.4511,1.65
-1.9785,2.3165,1.65
-2.1311,2.1311,1.65
-2.3001,1.9645,1.65
-2.444,1.7757,1.65
-2.5741,1.5774,1.65
-2.6641,1.3574,1.65
-2.7669,-2.9653,1.65
-2.877,-2.9779,1.65
-2.9273,-2.9938,1.65
-2.9932,-2.9614,1.65
-2.9877,-2.9903,1.65
-3.0045,-2.9829,1.65
-3.0143,-2.9522,1.65
-2.9866,-2.9526,1.65
-2.9252,-2.977,1.65
-2.8817,-2.9497,1.65
-2.8129,-2.9568,1.65
-2.6734,-1.3622,1.65
-2.5794,-1.5807,1.65
-2.4229,-1.7603,1.65
-2.2819,-1.9489,1.65
-2.1327,-2.1327,1.65
-1.966,-2.3019,1.65
-1.7648,-2.429,1.65
-1.5756,-2.5711,1.65
-1.3655,-2.6799,1.65
-1.1466,-2.7681,1.65
-0.9404,-2.8943,1.65
-0.7096,-2.9555,1.65
-0.4751,-2.9995,1.65
-0.2353,-2.9892,1.65
-0.0,-3.0395,1.65
0.239,-3.0362,1.65
